hour_of_day,month,temperature_c,radiation_w_m2,kwh_generated
17,1,6.596196965199866,248.19112937276293,2.135110193573173
18,1,2.1596687704183264,138.48027092437374,1.3246837436431713
19,1,1.031045683618535,7.839233570152157e-14,7.836194275519072e-16
20,1,0.2770929704083919,0.0,0.0
21,1,-1.2515990272192483,0.0,0.0
22,1,-4.691388083850621,0.0,0.0
23,1,-3.378889403630398,0.0,0.0
0,1,-6.438158969128265,0.0,0.0
1,1,-8.930987560612895,0.0,0.0
2,1,-7.409683857653773,0.0,0.0
3,1,-9.199954148865288,0.0,0.0
4,1,-5.955114038061755,0.0,0.0
5,1,-3.5098585300827367,0.0,0.0
6,1,-3.1788587536884805,130.15485747820614,1.1304601713966629
7,1,-2.9435329915900974,272.20284940563,2.6603526635350216
8,1,-1.6936282172204735,333.7250384408482,3.12712214726732
9,1,1.3602819799062758,487.490502889322,4.652134397378727
10,1,2.9984189705548108,531.0610390494892,4.687868136841043
11,1,5.466746293424432,572.4513239341904,5.080298384860453
12,1,5.932479858957019,624.6229301838479,5.872016815150827
13,1,4.872098561606197,592.5121364916614,5.819239677951589
14,1,4.8810035029825825,475.8767566598065,4.493769082370414
15,1,6.13222012202009,503.0497413449682,4.628101922185735
16,1,5.329441145938178,371.6530242386813,3.434912085068952
17,1,3.032513848991005,282.9235129761085,2.464463741808279
18,1,4.458872957245785,135.2075748131866,1.340187485062877
19,1,2.355804245742611,7.923459586420951e-14,7.006546618845132e-16
20,1,1.7758096866793394,0.0,0.0
21,1,-2.814903868095472,0.0,0.0
22,1,-5.869873586493233,0.0,0.0
23,1,-4.750271758726764,0.0,0.0
0,1,-6.403104468333105,0.0,0.0
1,1,-6.016396454950947,0.0,0.0
2,1,-6.57820039949439,0.0,0.0
3,1,-6.988378196625308,0.0,0.0
4,1,-6.007315959168815,0.0,0.0
5,1,-5.048764646552771,0.0,0.0
6,1,-5.093718085951167,120.58543692710384,1.0733323009487146
7,1,-4.656372875771433,275.21611966196934,2.700546457845963
8,1,-2.3561521020802134,333.82783842678907,3.042145678062599
9,1,3.4672728045582724,488.5000230688371,4.302162386510066
10,1,3.0027446776800244,562.9305169276851,5.016312106416912
11,1,8.799434946545752,540.1398491647678,5.2123988073839955
12,1,7.395404465183187,528.4325210747432,4.702945422366698
13,1,7.9626046516302145,510.8740258499851,4.620155218124972
14,1,5.879086929258602,519.8847501402787,4.8419257914072436
15,1,7.794464317373594,443.8349678217498,4.308726966586842
16,1,7.492526611048943,385.6384870255677,3.578007012363318
17,1,5.712848273505428,262.686871503135,2.397687728534586
18,1,2.983190468465147,138.79120737929424,1.3865887861838904
19,1,3.423585245117418,6.755364503233443e-14,6.292984383688037e-16
20,1,-1.466591874711059,0.0,0.0
21,1,-2.9425317412606873,0.0,0.0
22,1,-1.4109791070860638,0.0,0.0
23,1,-5.348959616876056,0.0,0.0
0,1,-8.006545811279175,0.0,0.0
1,1,-5.477475287215732,0.0,0.0
2,1,-5.84127952196439,0.0,0.0
3,1,-6.024546662179793,0.0,0.0
4,1,-3.9452272485585205,0.0,0.0
5,1,-5.136674122584736,0.0,0.0
6,1,-2.449816061170713,120.12196380334854,1.0403449391550736
7,1,-2.410964467542182,241.3977036897823,2.062730563987805
8,1,-0.4242226745375032,327.2486060442723,3.137032719529457
9,1,0.5452933626411212,441.8296216866062,4.011946534591749
10,1,1.7221922167514512,566.3839626212734,5.432039934128822
11,1,2.5853389866264886,567.8289518648634,5.4882117319575325
12,1,5.1025108773091405,628.1576698413136,6.0388830098424355
13,1,6.941482546322612,558.9739439003874,5.436491358025801
14,1,4.930816299561707,537.8262983672362,4.7726509839880595
15,1,7.851155293242515,423.48620519155816,3.998931031997493
16,1,7.007661466774771,326.89864884633835,3.0070288375202456
17,1,3.3576483574021143,267.7461341100072,2.336999213229726
18,1,3.3927951960809475,125.82424943948868,1.2351068135503809
19,1,3.7865057008820244,6.852497537032239e-14,6.197531198221169e-16
20,1,1.1065570943058263,0.0,0.0
21,1,-3.588505881605371,0.0,0.0
22,1,-5.4000291298552305,0.0,0.0
23,1,-5.466316223890609,0.0,0.0
0,1,-3.1736204799352863,0.0,0.0
1,1,-8.236285920067148,0.0,0.0
2,1,-6.815294702706182,0.0,0.0
3,1,-7.465428771551201,0.0,0.0
4,1,-7.761632775180873,0.0,0.0
5,1,-2.4505081186060034,0.0,0.0
6,1,-1.650951589325588,124.67353209177534,1.1873887914987373
7,1,-3.304073179316573,262.99207900513306,2.6134442607198167
8,1,-0.8621867490405464,375.95347110899996,3.370463864315734
9,1,0.5974655500415411,447.04255827691793,4.2278460252019565
10,1,4.305404329994596,572.5842873990849,5.721123634605641
11,1,6.401681653999114,599.8068452543816,5.467022466769651
12,1,3.973709246157401,593.2833398429162,5.881503618116703
13,1,4.412531414761072,531.3038356329541,4.893028736043877
14,1,6.783371592253462,495.4295277677622,4.790832151275057
15,1,8.057532152616043,492.4189255897017,4.801177628641196
16,1,4.8876526435503935,339.6764471667639,2.9763803057211797
17,1,6.9771945108013504,270.0803021211716,2.425489335511736
18,1,1.5841458233702528,127.96608622905299,1.0952828736280935
19,1,-0.2972093452689639,6.756502579882615e-14,6.483624966706577e-16
20,1,0.11316253894373887,0.0,0.0
21,1,-3.520400907688486,0.0,0.0
22,1,-3.800080170605436,0.0,0.0
23,1,-5.47109355604836,0.0,0.0
0,1,-4.378424558908595,0.0,0.0
1,1,-5.136784151865587,0.0,0.0
2,1,-1.4443117898544662,0.0,0.0
3,1,-9.527741151212055,0.0,0.0
4,1,-5.361618096261255,0.0,0.0
5,1,-6.091066466549919,0.0,0.0
6,1,-5.162841902134099,130.94229182299222,1.1191884407019712
7,1,-3.4876038645547456,227.81803260455655,2.1325347067775353
8,1,-1.4720285759590732,326.4312291899893,3.2166815309853747
9,1,4.240235372169183,425.00392749021455,4.063047823637974
10,1,4.037457587040137,562.7864132118133,4.907441423786241
11,1,5.904132942872311,604.3537500376239,5.4568601520405
12,1,7.726166110766483,627.3355678828813,5.3402992948821355
13,1,7.267290962607596,611.9717026826764,6.093934232354709
14,1,8.061386385727447,526.0160102358898,5.237645801050965
15,1,5.057354871757198,422.43247929316726,3.6177914607368935
16,1,6.016529986376809,340.29133939792695,3.04242212396966
17,1,6.525556250994992,278.5648907480101,2.6602706099982454
18,1,3.355426603031233,130.68094342949811,1.2538743246059154
19,1,1.566977371312301,6.660425998089843e-14,5.861554294301445e-16
20,1,0.5388496787853927,0.0,0.0
21,1,-2.7634354593773125,0.0,0.0
22,1,-4.9374108474684295,0.0,0.0
23,1,-3.145494171768093,0.0,0.0
0,1,-7.888719665040247,0.0,0.0
1,1,-5.376868055568606,0.0,0.0
2,1,-10.432133039452895,0.0,0.0
3,1,-4.683047570678452,0.0,0.0
4,1,-6.258910071742263,0.0,0.0
5,1,-3.8198254814848536,0.0,0.0
6,1,-3.59943954950103,136.98849771665687,1.2458744543935683
7,1,-3.466629483570345,274.6855538321496,2.6452419665904183
8,1,0.7339548497333812,352.49782560673975,3.033249343866548
9,1,3.598375539926286,422.38414341640515,3.9655645513377187
10,1,4.594289344028864,506.10451363523464,4.881022798241391
11,1,2.059055574181733,573.7825398781915,4.93534078672808
12,1,6.601481932482183,633.3830813420419,5.793273556818052
13,1,7.125434090176475,585.915952718203,5.29480037022406
14,1,7.9377034676599525,492.8999498622496,4.658820474214693
15,1,8.814095052058585,462.79010130308444,4.409964804269179
16,1,5.140779190813927,351.45852357320706,3.4665999443065787
17,1,2.8909339729115064,261.96033136085254,2.5791346169888856
18,1,1.8104060661854295,139.3024228734997,1.3880552544770688
19,1,3.446410407028006,7.748785198254251e-14,7.023636263706855e-16
20,1,-1.3373425344645584,0.0,0.0
21,1,-1.1548545422755192,0.0,0.0
22,1,-2.7821202651808306,0.0,0.0
23,1,-5.634490249473965,0.0,0.0
0,1,-8.408437275532005,0.0,0.0
1,1,-9.235640485224486,0.0,0.0
2,1,-8.530360836906702,0.0,0.0
3,1,-6.193766705354475,0.0,0.0
4,1,-6.430790627074333,0.0,0.0
5,1,-6.6690455455599515,0.0,0.0
6,1,-3.416294426949232,136.9335095945661,1.1917276774037304
7,1,1.3139219462737062,266.7001885669021,2.5998458758594487
8,1,-0.04602504476712696,327.75417029338234,3.078187850625697
9,1,1.348540217493593,456.11675344387294,3.947698707420524
10,1,3.312110997558184,541.9629062361256,5.205811426745847
11,1,6.261075060359144,575.2000592685031,5.35032430457142
12,1,2.351053432554484,527.8511639625613,4.672395828443912
13,1,5.755849466320983,517.3533099012992,4.5492104477802915
14,1,7.804784025914007,479.181258321875,4.27007512741691
15,1,5.533436132127602,459.8943852458697,4.57628067637274
16,1,4.534507096920075,362.9285659710668,3.3459692931767693
17,1,5.1372184801078955,270.95663984416615,2.3859922194978944
18,1,4.760309918801508,140.52412834646307,1.3685631008102315
19,1,1.6791329619922069,7.763345894504587e-14,7.619368607435536e-16
20,1,-1.8112091045747536,0.0,0.0
21,1,-1.234092402699553,0.0,0.0
22,1,0.026107446908145704,0.0,0.0
23,1,-4.611820662720631,0.0,0.0
0,1,-4.954922546510174,0.0,0.0
1,1,-6.406981794343404,0.0,0.0
2,1,-7.1292640227836905,0.0,0.0
3,1,-6.795491772592832,0.0,0.0
4,1,-5.454856279294576,0.0,0.0
5,1,-4.676694548899731,0.0,0.0
6,1,-3.6303387252569963,132.96519164059254,1.1698548286612003
7,1,-2.3941874312667553,243.00361850716996,2.108331789111746
8,1,1.191493673214649,368.51669343999913,3.3762823032156226
9,1,0.517813405348998,454.7054225692096,4.216418325797839
10,1,1.9710572359396,504.2004601562474,4.448268130554654
11,1,5.087629743824908,587.1793102623699,5.45300199808514
12,1,6.046169277321699,600.2008243671603,5.3065087574928755
13,1,7.772196924844987,619.9751484882119,6.054630631936119
14,1,4.24024389289656,583.4475845857476,5.412105268840479
15,1,5.536811865373154,413.28439494097233,4.0011904034447765
16,1,6.417167211308306,369.6140754100124,3.145232472680562
17,1,6.470300217473735,260.2181171270211,2.556799743200516
18,1,1.9157281637281005,131.5143167993557,1.2786559851611743
19,1,1.1281563075101078,7.079829003198127e-14,6.751029849583304e-16
20,1,1.7775528573900086,0.0,0.0
21,1,-2.9051940839112866,0.0,0.0
22,1,-3.550122482257042,0.0,0.0
23,1,-5.272598304040373,0.0,0.0
0,1,-3.8897446096028636,0.0,0.0
1,1,-8.959399193747043,0.0,0.0
2,1,-7.487338639703914,0.0,0.0
3,1,-7.192202473091121,0.0,0.0
4,1,-6.795337403033032,0.0,0.0
5,1,-6.359188660766129,0.0,0.0
6,1,-1.0929671769810785,142.2674893923254,1.331793537914533
7,1,-2.8421688651448354,282.40385778889396,2.6320669005895767
8,1,0.6920051250638921,394.88217835218904,3.4534061558683122
9,1,-1.0868213291010163,498.5967542039333,4.292429254233662
10,1,2.8505402144755987,475.08237720950774,4.68815391097572
11,1,3.0295018857941924,521.5405056196828,4.855527220438012
12,1,7.7422456723802675,617.9132667582602,6.177682136591391
13,1,7.636982510011107,620.4756351885832,5.346094021803183
14,1,9.66864499122698,514.8594531902874,4.752027793096832
15,1,8.075462216584786,478.5277787044432,4.311767488095499
16,1,8.035622631185678,332.4073106751093,2.973262291173747
17,1,2.9625512829842258,280.46575380642145,2.605968101714283
18,1,4.221633173464244,143.3056111638334,1.261769437869789
19,1,3.6098538353768586,7.56914461630718e-14,7.141152387848236e-16
20,1,2.828842876791051,0.0,0.0
21,1,-2.0970237321203915,0.0,0.0
22,1,-3.9659096946561507,0.0,0.0
23,1,-5.899626372209395,0.0,0.0
0,1,-5.0324294630860695,0.0,0.0
1,1,-7.634738196664713,0.0,0.0
2,1,-7.501136679219576,0.0,0.0
3,1,-8.150801084883733,0.0,0.0
4,1,-4.3860776016015235,0.0,0.0
5,1,-3.952108780851751,0.0,0.0
6,1,-3.043172569876459,122.14755425513611,1.1505923094220964
7,1,-3.5862677659986972,263.58791873902203,2.605529074563589
8,1,-1.5698629758647373,380.78865564607423,3.3737503197674013
9,1,3.5631994948089494,491.3127504897118,4.767336862533898
10,1,4.695181558327053,512.2309584687822,5.0483515488701665
11,1,4.771240307707368,617.6278404372101,5.585746326451456
12,1,7.348262791117049,538.729388343556,4.700238717444668
13,1,4.984072456774204,554.2215461218939,4.948995693255141
14,1,7.436479641152989,533.8510313002611,4.765088948948866
15,1,5.8107611540868636,494.8177902792864,4.540838606138206
16,1,6.225556278501315,365.31943103080874,3.544307725154193
17,1,3.127756952318736,242.44648439147187,2.238250999395566
18,1,2.0105874142956086,125.33115660579719,1.1001913177149028
19,1,0.27729831474450806,7.076094386184007e-14,6.223689267223745e-16
20,1,-1.6340158682312313,0.0,0.0
21,1,-0.5255895864869942,0.0,0.0
22,1,-1.2017277285976142,0.0,0.0
23,1,-4.7344269516095245,0.0,0.0
0,1,-6.827518313579134,0.0,0.0
1,1,-7.986155307624275,0.0,0.0
2,1,-6.7729554069253,0.0,0.0
3,1,-7.980979444526,0.0,0.0
4,1,-5.396685247394746,0.0,0.0
5,1,-4.861669187291441,0.0,0.0
6,1,-1.7163900576900213,131.02997583252952,1.2148194394087906
7,1,-1.658662896228725,256.9582938170229,2.4626176234092485
8,1,-1.3365681295694996,365.6148275487106,3.337349829467321
9,1,2.0902047599647893,424.3235362832431,4.159730711281649
10,1,5.494652099518927,516.4755651759577,4.484218325334179
11,1,2.6951407628337187,630.3791328863095,5.4691025464581395
12,1,7.483433898173167,653.0885143372752,6.17284719969224
13,1,6.978130653285549,560.1692673931827,5.0097862217415505
14,1,7.469123278245015,528.4339860183724,5.201003909484144
15,1,6.901787768643831,451.9475143035447,4.35851973748953
16,1,5.767392044312347,372.1980987415496,3.4314166526618903
17,1,6.143626447704233,237.37408076836306,2.259089895456638
18,1,6.45046916720246,126.76037479461787,1.2586476003837923
19,1,3.839708740711015,6.893954144767398e-14,6.033564306009222e-16
20,1,3.6272609167356955,0.0,0.0
21,1,-0.29581227831838075,0.0,0.0
22,1,-4.3523863679503965,0.0,0.0
23,1,-4.895583042590176,0.0,0.0
0,1,-6.069705411716981,0.0,0.0
1,1,-8.455101368368299,0.0,0.0
2,1,-7.944480713204335,0.0,0.0
3,1,-7.6410559452856734,0.0,0.0
4,1,-6.697525504900259,0.0,0.0
5,1,-5.664195629442414,0.0,0.0
6,1,-2.0440079490250813,143.79048265642524,1.4011016018521318
7,1,-1.0773498737337817,233.22066791837736,2.0672531965830103
8,1,0.10316792541664187,361.28167752395177,3.5788570926517767
9,1,3.4038173879089832,508.4059827857751,4.8448408117008865
10,1,3.3704448387594947,577.3270171368597,5.51082936446298
11,1,4.198716241368848,628.970178931893,6.142120419729691
12,1,5.084059209574788,558.1247736687844,4.972021632060471
13,1,6.918333631608812,580.2759629173776,5.388352928722691
14,1,7.5686080406816,499.78795692235303,4.494889891116816
15,1,5.251281271297183,500.6409952876365,4.817146168833725
16,1,6.209728050688383,367.0248724294314,3.1547044344186372
17,1,5.500373291021701,237.04789442924982,2.134893034452513
18,1,4.640657934086352,122.90832595794434,1.0646139092985334
19,1,1.8996518141714933,7.072429927080513e-14,6.766730783213068e-16
20,1,0.8858113719968704,0.0,0.0
21,1,-0.11962457071888943,0.0,0.0
22,1,-3.1950470273663147,0.0,0.0
23,1,-4.134806243782109,0.0,0.0
0,1,-7.142599872459025,0.0,0.0
1,1,-7.972068052445643,0.0,0.0
2,1,-7.374414057501325,0.0,0.0
3,1,-5.456243938737598,0.0,0.0
4,1,-3.5726211111534836,0.0,0.0
5,1,-2.1150623798532244,0.0,0.0
6,1,-2.0620073882874497,138.82768373458845,1.264740220293219
7,1,-2.0106602069499915,248.2821302519991,2.1709199304632194
8,1,-0.9954771662196005,362.67779962911294,3.5857506831990933
9,1,0.6147383037382319,430.07714872725893,4.273452213092162
10,1,3.690136927753489,471.41198682287416,4.660326426286731
11,1,6.962740252891986,509.8450837123832,5.074605417541545
12,1,5.20431015105547,597.4295444389194,5.161415601917504
13,1,6.484465389040046,564.2648556605819,5.209197006628503
14,1,9.44919736213307,529.5480003669497,4.80922760232804
15,1,7.640911177064685,501.75793136390865,4.343833865889579
16,1,6.39752646634434,365.30704892268704,3.3610148300062415
17,1,4.57005535889151,282.7522893366992,2.616793570653365
18,1,3.3629696724276945,134.52717333486393,1.1593040490837692
19,1,-2.2304081186749194,6.520202817955025e-14,6.196863571151584e-16
20,1,2.53885721099177,0.0,0.0
21,1,-1.4704873955146263,0.0,0.0
22,1,-4.308190696539226,0.0,0.0
23,1,-5.241553267017556,0.0,0.0
0,1,-4.986710718401143,0.0,0.0
1,1,-4.292017216749245,0.0,0.0
2,1,-7.027772503240921,0.0,0.0
3,1,-9.99857609841737,0.0,0.0
4,1,-6.910111763038967,0.0,0.0
5,1,-4.991597571359036,0.0,0.0
6,1,-3.7417005722655374,116.78780813997818,1.166160821649271
7,1,2.7061293648741103,278.79439404128635,2.6661960660035917
8,1,0.5728316998171905,370.4266111149627,3.5634999284541458
9,1,3.1836162849151375,458.7262283771179,4.139296957703094
10,1,1.2608927220986685,477.24953959301166,4.195915868673455
11,1,5.778779276115044,547.932629597795,5.375748947479912
12,1,7.8203194051653195,551.2532888197408,5.42684732524054
13,1,8.700448527258388,629.0779590734355,6.234178973059441
14,1,5.845474405282505,544.7821436453424,5.251366422001834
15,1,5.395609179579552,488.8335219747624,4.702758515529416
16,1,6.028482568936839,350.0924469221727,3.4216555297702613
17,1,4.812471511260705,235.1434456279498,2.1037159409393595
18,1,3.164354555037368,119.76892167104481,1.1476375465709265
19,1,0.7165462585022004,6.468729892210164e-14,6.336649331294754e-16
20,1,-1.7388774598850396,0.0,0.0
21,1,-2.624447053061586,0.0,0.0
22,1,-3.067004802472275,0.0,0.0
23,1,-6.931109303820234,0.0,0.0
0,1,-5.472023503076013,0.0,0.0
1,1,-7.538317926356101,0.0,0.0
2,1,-6.42597043325465,0.0,0.0
3,1,-4.690754780090762,0.0,0.0
4,1,-4.431108399553895,0.0,0.0
5,1,-6.727163613965944,0.0,0.0
6,1,-1.9439261686421299,128.7331707842772,1.2388330624112853
7,1,-0.7659465116943429,252.0418642095203,2.276818207041225
8,1,1.6673591967911958,402.1820317611036,3.5218029623722362
9,1,2.857925834771359,421.0160164308702,4.20133745221893
10,1,4.402058492186858,562.085286023484,5.1127908872096866
11,1,4.748622456732243,620.2216661662253,5.771301217382157
12,1,4.863519101867148,630.9065971683524,5.910597133959377
13,1,5.175503707312881,591.510361106542,5.131187730609228
14,1,7.828106954904212,581.607640520729,5.018802194321414
15,1,8.344712679741239,486.23028139225755,4.245210066859072
16,1,4.8126544062513155,373.4043839164257,3.30814407622969
17,1,6.753116216460274,237.52804791040356,2.0531327696669517
18,1,2.3484608475532047,142.45636904805116,1.4215112874545914
19,1,0.5675949709126167,6.877338464132174e-14,6.363769834026759e-16
20,1,2.6954114577222854,0.0,0.0
21,1,-2.886859788408479,0.0,0.0
22,1,-4.248148678486985,0.0,0.0
23,1,-5.341770180798744,0.0,0.0
0,1,-6.8043316943498375,0.0,0.0
1,1,-8.360607222613364,0.0,0.0
2,1,-5.855959185909596,0.0,0.0
3,1,-7.295785273384688,0.0,0.0
4,1,-8.288827567182306,0.0,0.0
5,1,-3.52771213277075,0.0,0.0
6,1,-3.36712683199186,131.45309885454805,1.2197869345235126
7,1,-2.5221589372242055,247.28415476478347,2.452915722411833
8,1,-0.26331427090729775,377.5541351274824,3.4601181063977022
9,1,2.926507786570467,445.3876843234222,3.8947201451044595
10,1,1.7453995163089355,587.2188647201382,4.992531461886349
11,1,4.117779337794459,635.6046201369978,5.641847411495355
12,1,4.164152061048244,564.3267574207134,4.851564570156384
13,1,6.268380317583228,519.1781855590999,4.6125349501176744
14,1,7.201590365557763,499.90016811529136,4.475580559513602
15,1,7.282352589935539,454.32750373439427,4.171656881091542
16,1,5.0594319373646295,340.2717738632518,3.273070114981836
17,1,5.66145864216147,254.1200258550586,2.1695506328329426
18,1,5.417945687076129,139.17747298704262,1.1850254770906512
19,1,2.9510066029890827,7.590144468574504e-14,7.461457347672954e-16
20,1,-1.359866758888206,0.0,0.0
21,1,0.27600673249168217,0.0,0.0
22,1,-5.906230192407987,0.0,0.0
23,1,-5.032534088858514,0.0,0.0
0,1,-6.848983294020391,0.0,0.0
1,1,-9.242529196449848,0.0,0.0
2,1,-7.749117143115012,0.0,0.0
3,1,-8.713670622743807,0.0,0.0
4,1,-7.105675068023369,0.0,0.0
5,1,-3.9113841566487775,0.0,0.0
6,1,-3.5564575557933047,138.03589634747217,1.2923590389441237
7,1,-2.385816616224675,282.8811748813204,2.634177988075883
8,1,-1.6270613295776917,373.1977681736412,3.6361490219701618
9,1,1.9731127986459862,501.831912017201,4.460259947302389
10,1,3.61660788572814,486.035599443499,4.72077266342448
11,1,4.826338320921585,610.9244122048253,5.461017967759808
12,1,7.781181138822873,601.1800869060726,5.196770246626796
13,1,7.149174914526319,546.0432287465483,4.85104016982029
14,1,6.823997549954538,566.7848622509792,5.102855615022602
15,1,7.4514425137871285,498.34253667225533,4.40189283844981
16,1,4.420507831808924,362.85948444153956,3.5685001273074657
17,1,5.036216876787548,272.0660212262804,2.3947481224929787
18,1,4.308864387704257,138.50170681355897,1.183706803886089
19,1,0.399850957711436,7.589831148424767e-14,7.401658162455029e-16
20,1,0.6885207704436409,0.0,0.0
21,1,-0.5624029551149552,0.0,0.0
22,1,-1.8330769666368878,0.0,0.0
23,1,-5.512128354182146,0.0,0.0
0,1,-5.018744754578675,0.0,0.0
1,1,-6.523957068618508,0.0,0.0
2,1,-7.029870944168012,0.0,0.0
3,1,-8.11813524726084,0.0,0.0
4,1,-8.580515880187079,0.0,0.0
5,1,-7.753608402515313,0.0,0.0
6,1,-0.8265754483113086,126.77482703686022,1.133666296170333
7,1,-3.7205473678265437,279.26908338235324,2.6669469017045473
8,1,-3.071299209689918,332.8301017134137,2.9417113458616027
9,1,0.4506443464799048,415.07744172268434,4.031627410863445
10,1,5.839726489433233,503.03662994545414,4.309799269315963
11,1,3.5030384862624526,519.8382826415431,4.56583460030457
12,1,5.1673056409190625,627.8231068312158,5.790674868524752
13,1,6.98685480572882,534.5331427034378,5.141519489162671
14,1,7.315102967805132,530.3818276588327,4.766855448941681
15,1,5.0752758001823945,455.6237099903309,4.005587750668352
16,1,8.248072088078647,393.8162081144657,3.9312508588918984
17,1,8.001006224141483,255.97699954535938,2.3927516723929383
18,1,3.8237143832257594,125.76977945818425,1.2568791361266163
19,1,-0.08458677218724864,7.25013389360922e-14,6.601575136273754e-16
20,1,-0.5296052768290845,0.0,0.0
21,1,-1.3981483188673673,0.0,0.0
22,1,-3.5795609712735663,0.0,0.0
23,1,-4.084137735730226,0.0,0.0
0,1,-6.913291350118877,0.0,0.0
1,1,-8.40553496927309,0.0,0.0
2,1,-6.719560302611219,0.0,0.0
3,1,-8.284583244258885,0.0,0.0
4,1,-8.165319547195478,0.0,0.0
5,1,-3.377854931403875,0.0,0.0
6,1,-3.527975983972527,124.94601926219704,1.1849160589892311
7,1,-1.3605233455405965,244.37104683860386,2.3722697596283555
8,1,-0.8162173841614295,348.6846998503909,3.0968891140691497
9,1,-0.9672120331870033,493.2475615353642,4.456885941940087
10,1,3.2801696066188026,528.8574271942143,4.846521523379506
11,1,4.524271462664771,587.9496589814098,5.577474162784833
12,1,7.62598019482919,580.975323789991,5.027868586001734
13,1,4.148165807819666,531.6922897623865,5.129382458124958
14,1,6.5595929878252,532.2416433565983,5.217677678253588
15,1,9.705418424047336,499.9046501929973,4.592560273152458
16,1,5.889991403110619,400.5583357479844,3.745277248009824
17,1,4.621372169748812,245.05528215109342,2.37615812678133
18,1,1.7918829790223323,136.63525993580117,1.2810499582707098
19,1,1.7264084280321768,7.955857248535565e-14,7.739449617566313e-16
20,1,1.2216947892353671,0.0,0.0
21,1,-2.1728978120669553,0.0,0.0
22,1,-2.564807358976572,0.0,0.0
23,1,-2.162286171261018,0.0,0.0
0,1,-5.075320166558903,0.0,0.0
1,1,-7.723677580645192,0.0,0.0
2,1,-3.4449885783780636,0.0,0.0
3,1,-6.7771108651058745,0.0,0.0
4,1,-3.3446512926351692,0.0,0.0
5,1,-5.042276873496929,0.0,0.0
6,1,-3.255698537723902,145.3998557903693,1.3525255763054673
7,1,0.37216829169027266,256.65766061993025,2.5030736749400084
8,1,0.06729131693312966,329.21461225547233,3.2072356731448997
9,1,4.178590773451092,452.98816922723205,4.129281792675942
10,1,3.201261551213143,506.28763577391413,4.7996630284708655
11,1,3.398291622009678,533.5281783355389,4.752836089220177
12,1,6.562575269671964,611.8144235589941,5.57134401092737
13,1,7.698016551076752,541.5056412426245,5.209525351683233
14,1,5.520372787773255,559.8157363444137,5.128526736793267
15,1,6.081328991985876,434.9030670433719,3.7958400002440547
16,1,7.388043727049361,394.8819934709705,3.483061099871798
17,1,4.258837729922821,246.77708191155932,2.3013876407281093
18,1,5.23633044695141,144.10860714913431,1.3639113068240998
19,1,-0.5499445382383576,7.303098344355468e-14,6.883571731567932e-16
20,1,1.732492600230692,0.0,0.0
21,1,-0.415196109520217,0.0,0.0
22,1,-5.006705461112209,0.0,0.0
23,1,-1.5554381535744382,0.0,0.0
0,1,-4.854076559305726,0.0,0.0
1,1,-6.924969020115399,0.0,0.0
2,1,-6.213712315846436,0.0,0.0
3,1,-3.7342918520742794,0.0,0.0
4,1,-3.0226203627322215,0.0,0.0
5,1,-3.9225150510134266,0.0,0.0
6,1,-1.9597969306996479,119.13961729264186,1.066412316519301
7,1,-1.5424953587216226,261.5620064619705,2.2893457161351636
8,1,0.4235120282246412,335.87012830200655,2.9595098358084164
